"","M","Ustar","sd_med","sd_sigma_T"
"1",5,0,1.67761327869323,0.182288478448942
"2",5,0.01,1.65949556627709,0.212119242402778
"3",5,0.02,1.65773062318822,0.217137397690022
"4",5,0.03,1.65698442679224,0.219888940171026
"5",5,0.04,1.65663893084218,0.221637265692448
"6",5,0.05,1.65649403059577,0.222816093661069
"7",5,0.06,1.65646054365496,0.223640270770307
"8",5,0.07,1.65649172601952,0.224227322892676
"9",5,0.08,1.65656054618934,0.2246449601952
"10",5,0.09,1.65665033093079,0.224941467583418
"11",5,0.1,1.65675033860989,0.225157593904077
"12",5,0.11,1.65685344677177,0.225311802027757
"13",5,0.12,1.65695485131666,0.225419504939802
"14",5,0.13,1.65705129128812,0.225493897324068
"15",5,0.14,1.65714056503939,0.225544756844308
"16",5,0.15,1.6572212166076,0.225578129229569
"17",5,0.16,1.65729232590483,0.225599691408652
"18",5,0.17,1.65735336457179,0.225612630888772
"19",5,0.18,1.65740409466574,0.225620015806376
"20",5,0.19,1.65744449604496,0.225623740225279
"21",5,0.2,1.65747471342888,0.225625377247844
"22",5,0.21,1.65749501722593,0.225625934612299
"23",5,0.22,1.65750577416937,0.225626052946875
"24",5,0.23,1.65750742505277,0.225626059561676
"25",5,0.24,1.65750046767832,0.225626049444406
"26",5,0.25,1.657485443682,0.225625921595796
"27",5,0.26,1.6574629282751,0.2256254077953
"28",5,0.27,1.6574335222028,0.225624137486438
"29",5,0.28,1.65739784540374,0.225621610299008
"30",5,0.29,1.65735653198621,0.225617222179305
"31",5,0.3,1.65731022623094,0.225610258039786
"32",5,0.31,1.65725957940026,0.225600120598071
"33",5,0.32,1.65720524718457,0.225585998455824
"34",5,0.33,1.65714788765542,0.225566962621223
"35",5,0.34,1.65708815962342,0.225542420843387
"36",5,0.35,1.65702672132109,0.225511398877096
"37",5,0.36,1.65696422934775,0.225472692285961
"38",5,0.37,1.65690133782636,0.225425717622064
"39",5,0.38,1.65683869773246,0.225369429535758
"40",5,0.39,1.65677695636317,0.225302990374618
"41",5,0.4,1.65671675692053,0.225224914809865
"42",5,0.41,1.65665873818825,0.225136109856418
"43",5,0.42,1.65660353428502,0.225034860624369
"44",5,0.43,1.65655177448055,0.224919718413488
"45",5,0.44,1.656504083063,0.224789795451003
"46",5,0.45,1.6564610792487,0.224642857957673
"47",5,0.46,1.6564233771265,0.224478728374975
"48",5,0.47,1.65639158563046,0.224296251772663
"49",5,0.48,1.65636630853588,0.224098095983795
"50",5,0.49,1.6563481444743,0.223883323242853
"51",5,0.5,1.65633768696404,0.223648509279021
"52",5,0.51,1.65633552445351,0.223389016936381
"53",5,0.52,1.65634224037473,0.223110652273036
"54",5,0.53,1.65635841320531,0.222810717539778
"55",5,0.54,1.65638461653729,0.222485329460501
"56",5,0.55,1.65642141915154,0.222136254285118
"57",5,0.56,1.65646938509678,0.221767602468626
"58",5,0.57,1.65652907377236,0.221369117770952
"59",5,0.58,1.65660104001446,0.220956733900416
"60",5,0.59,1.65668583418493,0.220520670092411
"61",5,0.6,1.65678400226297,0.220058181679029
"62",5,0.61,1.65689608593915,0.2195644959258
"63",5,0.62,1.65702262271208,0.219043491774583
"64",5,0.63,1.65716414598781,0.218500515137966
"65",5,0.64,1.65732118518216,0.217927762465352
"66",5,0.65,1.6574942658266,0.217330598978928
"67",5,0.66,1.65768390967808,0.216716301902488
"68",5,0.67,1.6578906348336,0.216065871722177
"69",5,0.68,1.65811495585044,0.21539629283219
"70",5,0.69,1.65835738387311,0.214699226693208
"71",5,0.7,1.65861842676834,0.21398117741298
"72",5,0.71,1.65889858926971,0.213222173332292
"73",5,0.72,1.65919837313388,0.21243483530434
"74",5,0.73,1.65951827731069,0.211633671364298
"75",5,0.74,1.65985879812995,0.210812886157087
"76",5,0.75,1.66022042950841,0.209961961618365
"77",5,0.76,1.66060366318111,0.209089478824564
"78",5,0.77,1.66100898896228,0.208193720974934
"79",5,0.78,1.66143689504233,0.207275180076158
"80",5,0.79,1.66188786832914,0.206328799393235
"81",5,0.8,1.66236239484397,0.205370196152643
