"","M","Ustar","sd_med","sd_sigma_T"
"40",5,0.39,0.306371747159645,0.0732256467206639
"41",5,0.4,0.306330144641901,0.0732218754247931
"42",5,0.41,0.306287404344651,0.0732002334845525
"43",5,0.42,0.306243777821845,0.073160512548474
"44",5,0.43,0.306199588083038,0.073102505298059
"45",5,0.44,0.306155226159942,0.0730259634914081
"46",5,0.45,0.306111148003018,0.0729306798606673
"47",5,0.46,0.306067871671782,0.0728164324205295
"48",5,0.47,0.306025974787397,0.0726830354554284
"49",5,0.48,0.305986092220292,0.0725304353338038
"50",5,0.49,0.305948913989187,0.0723583437614558
"51",5,0.5,0.305915183351135,0.0721666638307415
"52",5,0.51,0.305885695065004,0.0719554881986678
"53",5,0.52,0.305861293813426,0.071724305949813
"54",5,0.53,0.305842872770627,0.0714734562545431
"55",5,0.54,0.305831372305744,0.0712026276242507
"56",5,0.55,0.305827778813407,0.0709120396186409
"57",5,0.56,0.305833123665453,0.0706016888337761
"58",5,0.57,0.305848482279752,0.0702711379538999
"59",5,0.58,0.305874973304282,0.0699231609783441
"60",5,0.59,0.305913757916934,0.0695566300518858
"61",5,0.6,0.305966039243933,0.069170504934167
"62",5,0.61,0.306033061902549,0.0687680567177718
"63",5,0.62,0.306116111676771,0.0683485412266513
"64",5,0.63,0.30621651533811,0.0679133354025431
"65",5,0.64,0.306335640627673,0.06746224577007
"66",5,0.65,0.306474896420349,0.0669950501769904
"67",5,0.66,0.306635733097418,0.0665137643066172
"68",5,0.67,0.306819643160497,0.0660194665535411
"69",5,0.68,0.307028162127617,0.0655149408940912
"70",5,0.69,0.307262869761829,0.0650016949796847
"71",5,0.7,0.307525391694461,0.0644809417701994
"72",5,0.71,0.307817401519625,0.0639538487920201
"73",5,0.72,0.308140623454616,0.0634205832960301
"74",5,0.73,0.308496835683408,0.0628860417276579
"75",5,0.74,0.308887874529114,0.0623505660890346
"76",5,0.75,0.309315639637796,0.061820081559171
"77",5,0.76,0.30978210040319,0.0612907892975348
"78",5,0.77,0.310289303923313,0.0607698580628315
"79",5,0.78,0.310839384860803,0.0602581632112312
"80",5,0.79,0.311434577686575,0.0597555111494381
"81",5,0.8,0.312077231931637,0.0592686561003052
"82",5,0.81,0.31276983127036,0.0588012552744383
