"","M","Ustar","sd_med","sd_sigma_T"
"139",5.1,0.37,0.902297141583756,0.576470523492023
"140",5.1,0.38,0.9023141145893,0.576682551604635
"141",5.1,0.39,0.902330001494872,0.576868029830242
"142",5.1,0.4,0.902344757746277,0.577027353011839
"143",5.1,0.41,0.902358343048796,0.57716086439373
"144",5.1,0.42,0.902370721590562,0.57726885456846
"145",5.1,0.43,0.902381862227272,0.57735156059305
"146",5.1,0.44,0.902391738628882,0.577409165272628
"147",5.1,0.45,0.902400329389064,0.577441796609735
"148",5.1,0.46,0.902407618098381,0.577449527417977
"149",5.1,0.47,0.902413593382223,0.577432375098974
"150",5.1,0.48,0.902418248904614,0.577390301582011
"151",5.1,0.49,0.902421583339069,0.577323213426126
"152",5.1,0.5,0.902423600307719,0.577230962084844
"153",5.1,0.51,0.902424308289998,0.577113344334097
"154",5.1,0.52,0.902423720502205,0.576970102864304
"155",5.1,0.53,0.90242185474936,0.576800927037892
"156",5.1,0.54,0.902418733250832,0.57660545381385
"157",5.1,0.55,0.90241438244134,0.576383268841164
"158",5.1,0.56,0.902408832749049,0.576133907723148
"159",5.1,0.57,0.902402118352677,0.575856857454786
"160",5.1,0.58,0.902394276919731,0.575551558035226
"161",5.1,0.59,0.902385349328268,0.57521740425748
"162",5.1,0.6,0.902375379374929,0.574853747677211
"163",5.1,0.61,0.902364413472393,0.574459898762162
"164",5.1,0.62,0.902352500339955,0.574035129223447
"165",5.1,0.63,0.902339690691552,0.573578674529313
"166",5.1,0.64,0.902326036926383,0.573089736601404
"167",5.1,0.65,0.902311592828245,0.572567486692776
"168",5.1,0.66,0.902296413280959,0.572011068446017
"169",5.1,0.67,0.902280554008757,0.571419601128852
"170",5.1,0.68,0.902264071352421,0.570792183043519
"171",5.1,0.69,0.902247022094335,0.570127895104976
"172",5.1,0.7,0.902229463348572,0.569425804581751
"173",5.1,0.71,0.902211452535894,0.568684968991883
"174",5.1,0.72,0.902193047468311,0.56790444014496
"175",5.1,0.73,0.902174306573837,0.567083268319856
"176",5.1,0.74,0.902155289299902,0.566220506566266
"177",5.1,0.75,0.902136056743829,0.565315215116671
"178",5.1,0.76,0.902116672571843,0.564366465893915
"179",5.1,0.77,0.902097204305142,0.563373347098199
"180",5.1,0.78,0.902077725074183,0.562334967855928
"181",5.1,0.79,0.902058315972569,0.561250462911633
"182",5.1,0.8,0.902039069182811,0.560118997343069
"183",5.1,0.81,0.902020092102147,0.558939771278605
